Class,Champion,Tips against this defender 💡,Counters
Tech,Sentinel,"This Defender needs very specific responses, otherwise the fight will drag on for a long time, either due to resistances or the 2nd life.

The main dangers of this Defender:
➤ Throughout the fight, the Sentinel gains Analysis Charges, which grant him Armor and a Massive Critical Resistance that reduces the Chance of landing a Critical Hit by 57.6%.
➤ In addition, with 100 Analysis Charges, Special Attacks cost 30% less Power.
➤ When he reaches 20% life, the Sentinel gains 3 Armor Bonuses that last 3.5 seconds. If these Bonuses expire, the Sentinel gains 89% of his Maximum Power.
➤ If the Sentinel uses Special 3, then he recovers 100% of his Total Health, thus entering 2nd Life.
➤ If the Opponent blocks a Special 2 from the Sentinel when he has 100 Analysis Charges, then he suffers Incineration Debuffs.

How to defeat the Sentinel?
Against the Sentinel, it's mandatory to use Secondary Damage Effects, with Shock, Incineration, Powerful Sting, Degeneration and Rupture being some of the best.
Champions with access to Fragmentation (reduces critical resistance to 0) also have a great advantage against the Sentinel.
It is also advisable to use champions with access to power control, either through Petrify or through Power Steal or Drain.
Since SP2 can apply Incinerate, it's also advisable to keep the Sentinel on SP1.","Void, Prowler, Spider-Ham, Beta Ray Bill, Okoye, The Hood, Vox, Shathra, Karolina Dean"
Cosmic,Sersi,"Sersi is one of the most powerful cosmic defenders in the game. Her specials are unblockable, she has constant access to evasion/glancing that prevents offensive abilities from working, and she also has access to regeneration and power gain.
To control Sersi, it's mandatory to use champions that cancel or neutralize bonuses.","Shathra, Rintrah, Kushala, The Hood, Longshot, Nico Minoru"
Tech,Shocker,"Against Shocker, you shouldn't use SP1 and SP2 because he has a special auto-block mechanic.
When he runs forward, he becomes unblockable, so you need to be very careful about that.
You need to be careful with SP1 because this special can become unblockable and stuns.","Hulkling, Adam Warlock, Vox, Galan, The Serpent, Thanos (Deathless)"
Tech,Shuri,"Shuri is the only champion in the game who has all of her basic attacks as non-contact attacks.
Because of this, few champions can parry Shuri and stun her. It's advisable to use champions who parry non-contact attacks and use champions who avoid flinching.","Galan, Human Torch, Photon, Angela, Thanos (Deathless), Karolina Dean"
Science,Spider-Gwen,"The only danger this defender poses is dodging.
The solutions are champions with accurate attacks or champions that reduce defensive abilities.","Okoye, Mole Man, Falcon, Iceman, Venom, Cyclops (Blue Team)"
Science,Spider-Ham,"This is a defender who frequently dodges, reduces the opponent's attack through SP1 taunts and also applies stings, making it impossible for the opponent to use specials.
Against him, you should use champions that prevent dodging or reduce abilities.","The Serpent, Crossbones, Venom, Mole Man, Falcon, Okoye"
Science,Spider-Punk,"This is a Defender that is quite easy to take down, but needs a response that avoids Dodge.
Whenever this Defender is Intercepted with a Light or Medium Attack, he has a 100% chance to Dodge and Stun the Opponent for 2 seconds.
In addition, he should be kept in SP1, since SP2 applies Breaks through Block.","Venom, Okoye, Crossbones, Mole Man, Kate Bishop, The Serpent"
Science,Spider-Woman (Jessica Drew),"Spider-Woman brings a new Defensive mechanic that can be a problem.
She has access to the Severe Hindering Debuff.
This Effect disables Dexterity Proficiency during Special Attacks.
In addition, this Effect cannot be Purified.
Spider-Woman has a higher probability of activating SP1, and this Special activates Powerful Sting if blocked. This prevents the Opponent from activating Special Attacks.
In addition, for each Debuff present on the Attacker, Spider-Woman has a 2% Dodge Chance, making it mandatory to use Dodge Counters against her.","Okoye, Crossbones, Bullseye, Iceman, The Serpent, Falcon"
Science,Spot,"In addition to becoming invisible, Spot also applies instant burst damage to the opponent whenever they miss a hit.
The best way to control Spot is to use champions with defensive ability reduction.
Champions with vigilance or anti-flinch mechanics work but continue to suffer burst.","Archangel, Black Cat, Blade, Bullseye, Lumatrix, Silver Sable"
Mutant,Storm (Pyramid X),"The most problematic feature of Storm X's kit is that she has a 60% chance to Evade, except against special attacks. Evasion reduces offensive abilities and prevents critical hits.
Against Storm X should be used champions that remove prowess and drain power.","Lady Deathstrike, Viv Vision, Warlock, Prowler, Nimrod, Bastion"
Mutant,Stryfe,"Against Stryfe, it's advisable to use champions that don't hit critical hits, as this doesn't feed his charges.
This defender has the ability to evade/glancing, which prevents offensive abilities.
Champions that avoid flinch are safe options against this defender.","Nimrod, Shocker, Cyclops (Blue Team), Human Torch, Ironheart, The Serpent"
Cosmic,Super-Skrull,"Against the Super Skrull, nullifiers are the best answer. You have to be careful with the power gain and the flinch effect that appears every 25 seconds. Power controllers work well against him.
You shouldn't let the Skrull use SP2, this special can be lethal even if blocked. ❌","Kushala, America Chavez, Spiral, The Hood, Galan, Nico Minoru"
Cosmic,Terrax,"While Terrax's rock aura is active, the energy damage the enemy takes is intense.
Against Terrax, it's very important to use champions with energy resistance and who are immune to armor break.
Non-metal champions that drain power are also good options.","Absorbing Man, Count Nefaria, Wiccan, Diablo, The Hood, Shathra"
Cosmic,Thanos (Deathless),"This cosmic Defender's main dangers are the Unstoppable Passive, a very high rate of power gain, and Protection.
It's necessary to follow a series of rules to take down this Defender easily.

The main dangers of this Defender:
➤ Thanos gains Necrotic Energy whenever he attacks or is attacked, which causes him to gain an Unstoppable Passive that activates if he is hit in the Block.
Therefore, one of the main rules is to Avoid Hitting in the Block, since Thanos retaliates immediately.
Thanos also becomes Unstoppable Passively when he reaches the 3rd Counterattack Passive.
➤ In addition, Thanos' Combat Power Rate is permanently increased by 15%, and for each Necrotic Energy it increases by another 1%. In other words, it's possible for Thanos to reach +75% Combat Power Rate.
This causes Thanos to fill up his Specials extremely quickly, and he gets very close to SP2 very often.
➤ Thanos' SP2 is very dangerous, because it cannot be blocked, since this special reduces Block Proficiency by 80%. In addition, dodging twice in 0.75 seconds applies Instant Corrosion to the Opponent.

How to defeat Deathless Thanos?
➤ Champions that avoid Unstoppable are the best answers, with the best ones being Dust, Beta Ray Bill and Chee'ith.
➤ Champions with Power Control are a great option, since they easily avoid Thanos' SP2
➤ Champions with access to Nullification remove the Energization Buff, avoiding the problem of increased Combat Power Rate.
➤ Since Thanos constantly uses Specials, champions with Stinger are also a great answer.","Symbiote Supreme, Beta Ray Bill, The Hood, Spider-Ham, Chee'ilth, Kushala, Dust, Nico Minoru, Red Guardian"
Cosmic,The Champion,"Against the Champion, the most important thing is to control his unstoppable. To do this, simply use champions with nullification/neutralization.
Another way is to use champions with slowing effects.","The Hood, Kushala, Purgatory, Tigra, Symbiote Supreme, Nico Minoru"
Science,The Leader,"This Defender has some obstacles, all of his abilities are centered around Debuffs.
Whenever he's attacked with Light Attacks, the Leader applies Spectre and Fade Debuffs.
The Leader's Debuffs cannot be eliminated by Purification or Heal Effects.
In addition, for each Debuff present on the Opponent, the Leader reduces all Damage he receives by 3% or 4% against Skill Champions. This makes the Leader a very resistant Defender.
The Leader gains charges throughout the fight, when it reaches 100 he opens the Green Door, while the Opponent is close to the Green Door he suffers Degeneration.
This Degeneration becomes stronger depending on the Debuffs present on the Opponent.
Therefore, against the Leader, fights cannot be prolonged, the ideal is to use Champions that apply Bleed or have access to Armor Break.","Chee'ilth, Kate Bishop, Lumatrix, Mole Man, Falcon, Okoye"
Tech,The Maker,"The Maker poses a defensive threat thanks to the Plasma Mine he activates with SP1.
The Plasma Mine deals Energy Damage to the Opponent.
In addition, whenever he dodges, he passively stuns the Opponent.

How to defeat The Maker?
The Maker starts the fight with a Special Evade Charge; to deactivate this charge, the Attacker must use a Heavy Attack.
Furthermore, when The Maker uses SP1, he activates the Plasma Mine, and whenever the Opponent passes through this Mine, they take Instant Energy Damage.
Ideally, the Opponent should move away from this Mine to avoid taking unnecessary damage.
However, Champions with Energy Resistance take less damage from the Mines.","The Serpent, Mole Man, Okoye, Medusa, Bastion, Red Guardian"
Science,The Overseer,"Against the Overseer, you should keep in mind that he's immune to stun and also self-blocks immediately after using any special.
The best answers against him are champions with accurate attacks or ability reducers.","Medusa, Lumatrix, Mole Man, Black Cat, Hulkling, Vox"
Cosmic,The Serpent,"The Serpent, like the Maestro, is a Cosmic Defender with a Kit that greatly restricts the number of safe responses:
Power Gain, Piercing, Immortality, Specials that cannot be Dodged, and Very High Resistance.
The main dangers of this Defender:
➤ At the beginning of the Fight and every 8 seconds, the Serpent gains a Power Gain Bonus that grants him 25% of his Maximum Power.
➤ Throughout the Fight, the Serpent gains Resistance to Physical and Energy Damage.
➤ When activating Special Attacks, he becomes unblockable on the first hit and the Special deactivates Dexterity Proficiency, so he cannot be Dodged.
➤ When he's close to being knocked down, The Serpent becomes Immortal for 8 seconds and gains power passively.
➤ The Serpent is Immune to Fate Seal and Death Immunity cannot be Nullified.

How to defeat the Serpent?
Most common Mystics don't work against The Serpent, this is because Nullification, Fate Seal or Power Drain effects are not effective against him.
Against the Serpent, you should use these types of Abilities:
➤ Power Steal ➔ He's not immune to power steal and this is the most effective way to control this champion.
➤ Neutralize ➔ Neutralize effects work and turn off this Defender's Buffs
➤ Buff Duration Reduction ➔ Champions like Mojo or Kindred reduce Buff Time by up to 90%, minimizing the danger that this Defender can present.
➤ Bonus Immunity Effects ➔ Claire Voyant can make Serpent immune to his own Bonuses, so he doesn't gain power or become immortal.","Symbiote Supreme, Kushala, White Tiger, Isophyne, America Chavez, Spiral, Count Nefaria, Shathra, Nico Minoru"
Science,Thing,"Thing is one of the most resilient defenders in the game. He becomes unstoppable whenever he hits more than 15 stones.
The best way to control him is to use champions that reduce defensive abilities.
Since he limits physical damage, it's advisable to use champions with secondary damage.","Crossbones, Black Cat, Falcon, Jack O'Lantern, Kate Bishop, Vox"
Mutant,Toad,"Against Toad, you should use champions that are immune to poison, that are feat removers or that have a healing block.
It's possible to defeat Toad without blocking the healing, but in this case you shouldn't push Toad against the wall.
You should never use skill champions against Toad. ❌","Nimrod, Lady Deathstrike, Warlock, Omega Sentinel, Viv Vision, Bastion"
Cosmic,Vision (Aarkus),"Vision Aarkus's biggest threat is his cold snap damage. There are three possible solutions to Aarkus.
Use nullifiers because when you lose the power gain, you lose the cold snap ability. Another solution is to use champions that are immune to armor break or champions that are immune to cold snap.","Absorbing Man, The Destroyer, Doctor Doom, Isophyne, The Hood, Nico Minoru"
Tech,Viv Vision,"Viv Vision constantly drains the attacker's power, so it's important to use champions that are immune to power drain against her.
Her SP1 deals massive incineration damage, so to avoid this the solution is to force her SP2 or use champions that break armor.","Hulkling, Vox, Magneto, Thanos (Deathless), Galan, America Chavez"
Science,Void,"Void deals direct damage if the attacker suffers any negative effects.
Therefore, against Void, you should use champions with purification or abilities that reduce abilities.","Crossbones, Okoye, Chee'ilth, Mole Man, Lumatrix, Yelena Belova"
Tech,Warlock,"There are 3 effective solutions against Warlock: Use champions with many different bonuses (at least three).
Use champions immune to shock and armor break or use Robots.
Another way to avoid degeneration is to remove the Willpower proficiency.","Cosmic Ghost Rider, Medusa, Scream, Vox, Hulkling, Thanos (Deathless)"
Science,Wasp,"Against Wasp, you should use champions that prevent dodging, either through accurate attacks or through skill reduction.
Another way to control her is to force her heavy, since dodging goes on cooldown for a few seconds.","Okoye, Kate Bishop, Cyclops (Blue Team), Killmonger, Mole Man, Bastion"
Mutant,Wolverine (Weapon X),"Against Weapon X, you should use champions that block healing or have good secondary damage.
Petrify and healing manipulation don't work against this defender. ❌
The defender remains unblockable and unbeatable for most of the fight, so it's important to pay close attention to this.","Lady Deathstrike, Warlock, Nimrod, Omega Sentinel, Yondu, Nico Minoru"
Mystic,Magik,"Magik's biggest threat is Limbo's intense damage. Limbo is energy damage.
To avoid Limbo, you can use ability reduction or champions with high energy resistance.","Blade, Quake, Archangel, Guardian, Count Nefaria, Omega Red"
Mystic,Mordo,"Against Mordo, you need to be careful with his passive power gain, and you can't hit him while he's stunned, as he'll dodge the attack.
The best options against Mordo are power wielders or champions with access to petrify.","Doctor Doom, Luke Cage, Count Nefaria, Titania, Spider-Man 2099, The Hood"
Mystic,Dormammu,"Dormammu turns expiring buffs into decay. The best counters against Dormammu are buff-immune champions.
In addition to these champions, you can use ability reducers.","Silk, Spider-Man 2099, Titania, Count Nefaria, Spider-Ham, Red Guardian"
Mystic,Mephisto,"Against Mephisto, it's essential to use champions immune to incineration.
However, Mephisto's passive power gain is very high, so using champions with petrify or at least power control is important.","Void, Blade, Human Torch, Count Nefaria, Red Hulk, Titania"
Mystic,Ebony Maw,"Against Ebony, you can't use champions with guaranteed critical hits, otherwise he'll apply degeneration. ❌
Champions immune to buffs are the solution against Ebony. To avoid flinching, you should use heavy attacks frequently.
Champions with anti-flinching mechanics are also recommended. It's best to keep him on SP1.","Silk, Count Nefaria, Prowler, Titania, Red Guardian, Photon"
Mystic,Man-Thing,"Man-Thing completely limits the damage from critical hits, making him a very resilient champion.
Furthermore, throughout the fight, he applies pustule bonuses that transform into armor break and poison.
Against him, champions immune to poison and with direct secondary damage should be used.","Titania, Hulk, Spider-Woman (Jessica Drew), Cassie Lang, She-Hulk (Deathless), The Leader"
Mystic,Doctor Doom,"Doom has the highest critical resistance in the game. Furthermore, when he uses his SP1, he becomes unblockable, nullifying and transforming bonuses upon contact with the attacker into shocks.
Against Doom, you should use champions with secondary damage and those with petrify, as this severely limits his abilities.","Human Torch, Photon, Silk, Void, Spider-Woman (Jessica Drew), Luke Cage"
Mystic,Longshot,"Longshot passively nullifies the opponent's bonuses; it should be used against champions immune to bonuses.
Furthermore, when using SP2, it passively incinerates the opponent even if SP2 doesn't make contact.
Because of this, it's important to use attackers immune to incineration or nullification against it.","Human Torch, Kushala, Prowler, Count Nefaria, Void, Titania"
Mystic,Mojo,"Mojo turns buffs into degeneration and simultaneously gains passive power.
To avoid this, use champions immune to buffs or with high ability reduction.
It's advisable to use champions with Petrify and keep Mojo on SP1.","Titania, Count Nefaria, Spider-Man 2099, Cassie Lang, Silk, Red Guardian"
Mystic,Sasquatch,"Sasquatch is the champion with the most health in the game, he regenerates a lot, and he also has a damage prevention mechanic that increases throughout the fight.
He also has the ability to become passively unstoppable.
Against this defense, you should use champions with poison damage, petrify damage, or ability reductions.","Human Torch, She-Hulk (Deathless), Spider-Woman (Jessica Drew), Luke Cage, Silk, Count Nefaria"
Mystic,Dragon Man,"Dragon Man passively gains power for much of the fight. Furthermore, if he uses SP3, he corners the opponent, becoming unstoppable and unblockable. Against him, you should use champions with Petrify or Power Control.
You can't use champions that break armor because he applies degeneration. ❌","She-Hulk (Deathless), Titania, Spider-Woman (Jessica Drew), Void, Silk, Count Nefaria"
Mystic,Mangog,"Mangog poses a threat due to its passive, unstoppable, and unblockable power gain.
His SP2 can be fatal, so it's highly recommended to keep it at SP1 throughout the fight.
Against Mangog, champions with Petrify or Power Control should be used.","Count Nefaria, Luke Cage, Silk, Void, Spider-Woman (Jessica Drew), She-Hulk (Deathless)"
Mystic,America Chavez,"Chavez is a defense that doesn't forgive a single mistake. Besides the passive power boost, her SP2 becomes unblockable, and being hit with this special usually ends the fight. She also has reverberation that reflects damage.
Against Chavez, it's mandatory to use champions with power control or ability reduction.","Red Guardian, Void, Silk, She-Hulk (Deathless), Prowler, Quicksilver"
Mystic,Wong,"Wong gains power while charging heavily and becomes passively unstoppable.
He also becomes unstoppable when the opponent activates buffs, so buff-immune champions are the solution.
He should also be used heavily when he has 90 Eldritch Energy charges to prevent the burst of damage.","She-Hulk (Deathless), Red Guardian, Silk, Cassie Lang, Titania, Void"
Mystic,Rintrah,"Rintrah is one of the most resilient and health-rich champions in the game.
To prevent him from activating his unstoppable passive effects, you should use a heavy attack frequently.
He converts buffs into bursts, so it's important to use champions immune to buffs or ability reducers.","Spider-Woman (Jessica Drew), Cassie Lang, Silk, Spider-Ham, Titania, Photon"
Mystic,Wiccan,"Wiccan converts bonuses into incineration, so you should always use champions immune to incineration against him.
Furthermore, you can never shock Wiccan because he degenerates the opponent. ❌","Void, Titania, Human Torch, Count Nefaria, Prowler, Red Guardian"
Mystic,Spider-Man (Supreme),"Spidey Supreme becomes invisible when the opponent activates buffs, but the worst part is that he applies buffs to his opponent himself.
He also gains power passively, and his SP2 deals a burst of damage if blocked.
Against this defense, you should use champions who are immune to buffs or have anti-failure mechanics.","Titania, Red Guardian, Spider-Man 2099, Ant-Man, Human Torch, Photon"
Mystic,Absorbing Man,"Absorbing Man requires a specific counter because his regeneration is very intense.
He shouldn't be allowed to use his SP2 twice, because if he does, he'll incinerate the opponent.
It's recommended to use heavy attacks after his special attacks and use champions with poison or petrify.","Human Torch, Silk, Count Nefaria, The Leader, Void, Spider-Woman (Jessica Drew)"
Mystic,Kindred,"Against Kindred, the trick is to hit him quickly while he's recovering from a SP.
This pauses Infestation Charges for 8 seconds.
If Kindred reaches 50 Infestation Charges, he activates Nightmare Outbreak, which causes Degeneration on the opponent when they're nearby.
Spider-Verse champions pause Infestation Charges longer, giving them an advantage.
Kindred becomes immortal and roots the opponent when they reach 5% health.
To deactivate these two effects, you must use a special attack.
Champions with Degeneration Resistance or non-contact moves are the best counters against this powerful defender.","Luke Cage, Mister Negative, Titania, Spider-Woman (Jessica Drew), Spider-Ham, Silk, The Hood, Count Nefaria"
Mystic,Werewolf By Night,"The Werewolf in the Night's main threats are its passive power gain and its Unstoppable effect when performing a Terrifying Howl.
Furthermore, its Specials cover a large screen, and blocking these Specials causes the Opponent to be Ruptured.
Against this Defense, Power-Controlling and Rupture-Resistant champions should be used.","Silk, She-Hulk (Deathless), Red Guardian, Lumatrix, Spider-Punk, Titania"
Mystic,The Destroyer,"The Destroyer becomes Unstoppable when it dashes toward the Opponent.
The final hits of Special Attacks 1 and 2 are passively unblockable.
If the Opponent gains a Buff, the Destroyer retaliates with Burst Damage when hit.
Against the Destroyer, it's best to use Buff-Immune champions and preferably champions with some Power Control. Since SP2 is Unblockable and the dexterity of this special is quite difficult, it's best to keep it on SP1.","Silk, Count Nefaria, Luke Cage, Spider-Woman (Jessica Drew), She-Hulk (Deathless), Titania"
Mystic,Enchantress,"The Enchantress is the best Mystic Defense in the game.
She brings several new mechanics and requires a very specific set of actions, otherwise the Opponent suffers a Direct Damage Reflection that is immensely punishing.

To defeat the Enchantress, you must Remove her Spells before she casts her SP1.

The main dangers of this Defender:
➤ For each Spell present on the Enchantress, she blocks 20% of all Damage Taken!
➤ If the Enchantress has a Spell active when she uses a Special, all the Prevented Damage is returned to the Attacker as Direct Damage. 💀
➤ At the start of each fight, the Enchantress already has 3 Spells, meaning she stores 60% of all damage she takes, and if she casts a Special, she returns that damage to the Opponent.
➤ When using Specials, the Enchantress can apply Passive Damage Effects such as Incinerate, Cold Snap, and Shock; these effects also activate through Block. 🔥 ❄️ ⚡️

How do you defeat the Enchantress? 🧠
➤ To defeat the Enchantress, it is mandatory to REMOVE SPELLS.
➤ The Enchantress has 3 types of Spells: Summoning + Transmutation + Enchantment.
➤ Each Spell requires a specific action to be removed!

Summoning Spell ✴️
➤ When the Enchantress gains this Spell, she becomes Unstoppable whenever she dashes forward.
➤ To remove this spell, you must Intercept the Enchantress ⛔

Transmutation Spell 👻
➤ When the Enchantress gains this Spell, she gains a passive Flinching Effect.
➤ To remove this spell, you must Interrupt the Enchantress's Heavy ⛔

Enchantment Spell 👻
➤ When the Enchantress gains this Spell, she applies a Neutralization and Atrophy Passive. 🗡️❌⏰
➤ To remove this spell, you must Knock the Enchantress Down ⛔","Sentry, Red Guardian, Luke Cage, Spider-Ham, Titania, Falcon (Joaquín Torres), Silk, Count Nefaria, Spider-Woman (Jessica Drew)"
Mystic,Spiral,"Spiral's only defensive mechanic is Dancing Blades, which it activates whenever it activates a Special Attack.
As soon as it launches a Special, for the next 10 seconds, if the opponent attacks it with a second Light Attack, they are passively Stunned for 2 seconds.
Therefore, the attacker should avoid hitting Spiral, or if they do hit, use Medium or Heavy Attacks.
Using Stun-Immune Champions is another good solution against Spiral.","Silk, Count Nefaria, Photon, Spider-Woman (Jessica Drew), She-Hulk (Deathless), Titania"
Mystic,Nico Minoru,"Nico Minoru's main defensive mechanics include the Bonus Immunity Effect, Invisibility, and Direct Energy Damage.
Against her, it's mandatory to use specific counters, that is, Poison-Immune Champions that aren't Cosmic.
Also, it's MANDATORY to always dodge her SP1.

The main dangers of this Defender:

Bonus Immunity Effect
➤ Nico Minoru places a Bonus Immunity Effect at the start of each fight. This effect lasts 11 seconds and prevents any Bonuses from activating.
If a Champion attempts to activate a Bonus and is prevented from doing so, Nico Minoru applies Poison or Acid Burn (against Poison-Immune Cosmics).
So, against her, it's best to use a Poison-Immune Champion that isn't Cosmic.
If the Attacker isn't Poison Immune, another strategy is to wait for the Bonus Immunity Effect to expire and then force only Nico Minoru's SP1, since SP2 reapplies the Bonus Immunity Effect.

SP1
➤ Special 1 is Nico Minoru's biggest threat.
The Final Blow of SP1 deals Direct Energy Damage to the Opponent, and this damage is also activated by Block.
Therefore, when Nico Minoru uses SP1, it is MANDATORY to dodge this special.
It's recommended to force Nico Minoru's SP2, as it is easier to Dodge and doesn't deal Direct Energy Damage.

Invisibility
➤ When using SP1, Nico Minoru becomes Invisible for 4 seconds immediately after the Special; this should be taken into account.","She-Hulk (Deathless), Warlock, Spider-Woman (Jessica Drew), Joe Fixit, Sentinel, Hulk"
Skill,Kingpin,"The main rule against Kingpin is to not let him reach 2 bars of power, as SP2 gives him a long-lasting unstoppable effect.
Negative effects are also discouraged, as the purification chance is 60%.
Champions with anti-purification mechanics should be used or White Magneto should be used pre-fight.","Cyclops (Blue Team), Dazzler, Bishop, Negasonic Teenage Warhead, Gentle, Deadpool (X-Force)"
Skill,Killmonger,"Killmonger has 20% critical resistance, gains power when debuffs are applied, and deals damage back to the opponent when hit.
The best way to prevent these abilities is to use champions with armor break or ability reducers. Breaking his armor prevents the reverberation and power gain.","The Hood, Thanos (Deathless), Prowler, Dazzler, Negasonic Teenage Warhead, Medusa"
Skill,Korg,"Korg has damage prevention mechanics, a high chance of purification, access to unstoppable and unblockable attacks, and also deals damage to the opponent when hit by medium or special attacks.
Against him, you should use champions with energy attacks or champions with resistance to physical damage.","Bishop, Kushala, Negasonic Teenage Warhead, Dazzler, Prowler, Onslaught"
Skill,Nick Fury,"When hit, Fury gains tactical charges; when he reaches 15, he becomes unblockable. He also has two lives, and on his second life, he gains +300% attack.
Mutant champions are mandatory against Fury because they reduce the chance of gaining tactical charges. Skill-reducing champions also prevent tactical charges.","Archangel, Deadpool (X-Force), Dani Moonstar, Cyclops (Blue Team), Toad, Jean Grey"
Skill,Mole Man,"The first 20 negative effects applied to Mole are purified, giving him Monstrous Mass.
With Monstrous Mass, he becomes unstoppable whenever he's hit in his block. The main rules against Mole are to avoid hitting his block and to use champions with anti-purification mechanics.","Negasonic Teenage Warhead, Onslaught, Bishop, Deadpool (X-Force), Jean Grey, Gentle"
Skill,Hit-Monkey,"Hit Monkey is an easy defense if you follow one rule: never knock him down.
When knocked down by a heavy or special attack, he dodges and purifies.
So, just avoid knocking him down to avoid these two abilities.","Dazzler, Prowler, The Serpent, Okoye, Cyclops (Blue Team), Negasonic Teenage Warhead"
Skill,Jabari Panther,"Jabari gains healing effects, allowing her to constantly purify. Furthermore, throughout the fight, she gains Huntress charges; at 10, she prevents the opponent from using Dexterity and becomes immune to stuns.
Champions with Prowess should be used (this removes Huntress charges) or White Magneto's pre-fight.","Storm, Dazzler, Bishop, Onslaught, Prowler, Negasonic Teenage Warhead"
Skill,Kraven,"Kraven was the first champion to have a root in the game. He gains access to the root when activating his SP1.
To avoid this effect, you must always force SP2.
If he applies the root, you must use a special attack to remove the effect. Ability reducers also prevent the root.","Archangel, Dazzler, Domino, Deadpool (X-Force), Cyclops (Blue Team), Thanos (Deathless)"
Skill,Misty Knight,"Misty has two types of charges: Cryogenic and Anti-Metal. Cryogenic charges purify her, and anti-metal charges give her a dodge chance.
Against Misty, champions with anti-dodge and anti-purify mechanics should be used. She also becomes unblockable, so it's advisable to always force only SP1.","Iceman, Dazzler, Cyclops (Blue Team), Okoye, Prowler, Negasonic Teenage Warhead"
Skill,Attuma,"Whenever Attuma is hit, he has a 15% chance to deal physical damage to the opponent. Additionally, whenever he is parried, he purifies and enhances his defensive abilities.
The best way to take down Attuma is to avoid parrying him and always force SP1. Champions with resistance to physical damage also have an advantage.","Shuri, Dazzler, Jean Grey, Negasonic Teenage Warhead, Onslaught, Namor"
Skill,Mantis,"The only real threat this defense poses is the Sleep Invasion Passive. It applies this effect using SP1.
To remove Sleep Invasion, the opponent must use a special attack while they have an active prowess.
If the opponent simply forces SP2, they will never have to deal with this passive effect.","Bishop, Negasonic Teenage Warhead, Toad, Jean Grey, Archangel, Dazzler"
Skill,Baron Zemo,"Against Baron Zemo, you shouldn't apply debuffs. After purifying 5 debuffs, Zemo roots the opponent.
Therefore, it's best to force his SP1 and never apply any debuffs.
Passive ability debuffs are another great solution against Zemo.","The Hood, Hulkling, Dazzler, Negasonic Teenage Warhead, Prowler, Gentle"
Skill,Kate Bishop,"When Kate Bishop is stunned, she purifies the effect, dodges, and stuns the opponent. Therefore, against her, you should use champions with anti-dodge abilities or any other champion, but never parry her.
It's also advisable to only force SP1, as missing the SP2 dodge is fatal.","Cyclops (Blue Team), Hulkling, Iceman, Dazzler, Gentle, The Serpent"
Skill,Moondragon,"Moondragon deals energy damage when it hits an opponent in block. Additionally, when using SP1, it becomes invisible for 3 seconds. It also has the ability to purify.
Against Moondragon, the trick is to push her against the wall and force SP1. Champions with energy resistance also have an advantage.","Cyclops (Blue Team), Negasonic Teenage Warhead, The Serpent, Dazzler, Hulkling, Domino"
Skill,Chee'ilth,"Chee'ilth periodically gains healing effects, so she purges debuffs frequently.
She also has block penetration and can land critical hits through block.
She also has the ability to apply bleed through block, so using champions that are immune or resistant to bleed is crucial.","Dazzler, Dust, Iceman, Gentle, Negasonic Teenage Warhead, Prowler"
Skill,Bullseye,"Bullseye is an opponent who truly punishes every time he activates a dodge.
When he dodges, he immediately activates a special attack.
Furthermore, all of his hits are guaranteed critical hits.

How to defeat Bullseye?
Bullseye's dodge effects cannot be prevented by ability reductions, so not even slow effects work against this defender. ⚠️
Bullseye bleeds the opponent during specials and also when the opponent dodges a hit, so it's really important to use someone who is immune or resistant to bleed.
To prevent the dodge, you can use champions with access to True Strike or champions with passive anti-dodge abilities, such as Professor X, Cyclops, Bastion, or Apocalypse.
Another way to avoid the dodge is to use champions with access to Cold Snap.","Iceman, Onslaught, Dust, Kushala, Mister Sinister, Cyclops (Blue Team), The Serpent, Warlock, Gentle"
Skill,Black Panther (Civil War),"BP CW's greatest threats are stun reflection and damage reflection.
To avoid these two mechanics, you cannot stun Black Panther CW under any circumstances.
Furthermore, you shouldn't use heavies against him, as he becomes passively unstoppable and retaliates.
Against this champion, it's ideal to use champions with access to passive stun, so he doesn't reflect the stun.
Champions with access to anti-unstoppable mechanics are also a great answer.","Dazzler, Beta Ray Bill, Negasonic Teenage Warhead, Chee'ilth, Dust, The Hood, Onslaught, Bishop, Storm"
Skill,Lumatrix,"Lumatrix's main defensive mechanics are Evasion and Invisibility.
Furthermore, his Critical Chance is extremely high, so any mistake against him can be fatal.
Currently, Lumatrix has few truly reliable answers.

How to defeat Lumatrix?
Whenever Lumatrix charges a Heavy Attack, he gains an Evasion Charge for 2 seconds.
If Lumatrix evades, he becomes Invisible and also Passively Stuns the opponent.
Therefore, it's mandatory to use champions that prevent his Evasion.
Furthermore, Lumatrix has Fractured Power Bars, meaning that even if he fills 2 Power Bars, he can still use SP1. This makes him even more unpredictable as a Defender.
If Lumatrix uses his SP1, he gains an Invisibility Passive.","Cyclops (Blue Team), Iceman, The Serpent, Okoye, Cassandra Nova, The Hood, Professor X, Jean Grey, Bullseye"
